artist and title,wks,t10,pk,x?,PkStreams,total,artist name,song name,lyrics
Loïc Nottet - Rhythm Inside,3,,103,,1521688,3603086,Loïc Nottet,Rhythm Inside,"Listen to the sound of thunder Rolling in the soul down under Far beneath the skin it rumbles Step to the step of the drum that rolls inside Be you enemy or lover We are put here to discover The heart that beats within each other We gonna ra-pa-pap, ra-pa-pap We gonna ra-pa-pap tonight And if we die tomorrow What do we have to show For the wicked ways down below The rhythm inside is telling us We can fly tomorrow On the beautiful wind that blows On a cosmic track, love attack I'm gonna get that rhythm back Be you enemy or brother We were put here to discover The heart that beats within each other We gonna ra-pa-pap, ra-pa-pap We gonna ra-pa-pap tonight And if we die tomorrow What do we have to show For the wicked ways down below The rhythm inside is telling us We can fly tomorrow On the beautiful wind that blows On a cosmic track, love attack I'm gonna get that rhythm back We gonna ra-pa-pap, ra-pa-pap We gonna ra-pa-pap tonight We gonna ra-pa-pap, ra-pa-pap We gonna ra-pa-pap tonight We gonna ra-pa-pap, ra-pa-pap We gonna ra-pa-pap tonight We gonna ra-pa-pap, ra-pa-pap We gonna ra-pa-pap tonight And if we die tomorrow What do we have to show For the wicked ways down below The rhythm inside is telling us We can fly tomorrow On the beautiful wind that blows On a cosmic track, love attack I'm gonna get that rhythm back"
Lil Pump - Boss,1,,177,,3592368,3592368,Lil Pump,Boss,"Ooh, yeah Lil Pump! Yeah Yeah, I came in with the sauce, ooh Yeah, I came in with a saw, yeah Bitch, I flex, Rick Ross, yeah Bitch, I flex, Rick Ross, yeah Yeah, I came in with the sauce, ooh Yeah, I came in with a saw, ooh Bitch, I flex, Rick Ross, yeah Bitch, I flex, Rick Ross, yeah Walk in the trap like a boss (ooh) Walk in the trap like a boss (brr) Walk in the trap like a boss (ooh) Walk in the trap like a boss (trap) Yeah, I came in with the sauce, (ooh) Yeah, I came in with a saw, ooh Bitch, I flex, Rick Ross, ooh Bitch, I flex, Rick Ross, ooh Walk in the trap, Ric Flair, ooh Fuck a nigga bitch, don't care, damn Throwing up racks in the air, damn Told that bitch ""Lil Pump, yeah, ooh"", damn I just broke my wrist 100 on my wrist, can't tell me shit Pop 4 Xans then I fucked a nigga's bitch Never went to school 'cause I was always flippin' bricks, ayy Yeah, I came up with the sauce, damn Yeah, I sold crack in the halls, damn Lil Pump, bands on top, damn Gave my mom 2 Glocks, damn Everybody do wanna be me Lookin' at my neck and it's Fiji, ooh, damn Everybody do wanna be me Lookin' at my neck and it's Fiji, ooh Yeah, I came in with the sauce, ooh Yeah, I came in with a saw, yeah Bitch, I flex, Rick Ross, yeah Bitch, I flex, Rick Ross, yeah Yeah, I came in with the sauce, ooh Yeah, I came in with a saw, ooh Bitch, I flex, Rick Ross, yeah Bitch, I flex, Rick Ross, yeah"
MisterWives - Reflections,3,,117,,1260039,3589003,MisterWives,Reflections,"You didn't close the door Left a crack open I couldn't ignore the faint possibility Of having hope in this insanity That we still could be But we're stuck floating in between Put me on the shelf, discipline myself To let the sparks die out Shattering anything That has reflections of you You You You Our eyes were closed with hearts open wide Dismissed every rule to abide by Our bodies undressed the layers of shy Revealing the truth that was buried inside Filled up feelings That now are bursting at the seams Put me on the shelf, discipline myself To let the sparks die out Shattering anything That has reflections of you You You You Unsure of what are my dreams, it seems You have stolen my slumber and awakened another Life within me that is better than any other Reaching endless heights in never ending nights That can't be seen, put to bed this dream Oh-oh-oh-oh-oh-oh-oh Put me on the shelf, discipline myself To let the sparks die out Shattering anything That has reflections of you You You You"
Calvin Harris - Skrt On Me,1,,161,,3582957,3582957,Calvin Harris,Skrt On Me,"Young Money Said, baby, no, no, no, no, no You know my loving ain't free, babe Won't make you do what you don't wanna do What you don't wanna do, no that ain't me, babe Said, baby, nah nah nah, I ain't with the drama That ain't what I need I need your tin heart now, need your ten toes down, baby Said if you ride, baby, ride up Pull up from behind, baby, wine up And you and me, we can shine up So, baby, come make your mind up Said if you ride, baby, ride up Pull up from behind, baby, wine up And you and me, we can shine up So, baby, come make your mind up Baby, babe, I need you to skrt on me, babe Drop down, less that you know, I need to know 'Cause you keep telling me your love ain't free, babe But if you with it, wine up on me 'Cause the hips don't lie, baby Drop down, less that you know, I need to know 'Cause you keep telling me your love ain't free, babe Said, baby, I-I-I got so used to it being on a creep babe Yeah, maybe I-I-I got so used to just giving you the least, babe But nowadays, I need more from ya I need something I can keep Said nowadays, I need real Nowadays, I need you to take the lead Said if you ride, baby, ride up Pull up from behind, baby, wine up And you and me, we can shine up So, baby, come make your mind up Said if you ride, baby, ride up Pull up from behind, baby, wine up And you and me, we can shine up So, baby, come make your mind up Baby, babe, I need you to skrt on me, babe Drop down, less that you know, I need to know 'Cause you keep telling me your love ain't free, babe But if you with it, wine up on me 'Cause the hips don't lie, baby Drop down, less that you know, I need to know 'Cause you keep telling me your love ain't free, babe Ay yo, bring in the blunt, Emily Blunt Platinum back, ice bling in the front I'ma lay in the jump, Yao Ming in the dunk And I'm playing the field, Brad Wing in the punt I'ma tell him I love him in a foreign and cuff him Whips and immigration, everything on him, it's custom Now they calling me Billy, I'm the goat No Achilles heel since I left Philly Countin' them millis to billis Beep beep beep beep, put the hurt on me Yeah, I'm wearing jeans, but he put the skirt on me Rode him to sleep, and then I put his shirt on me Pussy clean, these niggas ain't got no dirt on me Gotta play it by my rules, so I swerve on him Got my cash money, you can ask Bird or Slim Took him to my Paradise, so he grippin' my linen Now he got a big thing for Caribbean women Baby, babe, I need you to skrt on me, babe Drop down, less that you know, I need to know 'Cause you keep telling me your love ain't free, babe But if you with it, wine up on me 'Cause the hips don't lie, baby Drop down, less that you know, I need to know 'Cause you keep telling me your love ain't free, babe Baby, babe, I need you to skrt on me, babe Drop down, less that you know, I need to know 'Cause you keep telling me your love ain't free, babe But if you with it, wine up on me 'Cause the hips don't lie, baby Drop down, less that you know, I need to know 'Cause you keep telling me your love ain't free, babe"
John Mayer - Moving On and Getting Over,1,,138,,3582564,3582564,John Mayer,Moving On and Getting Over,"Moving on and getting over Are not the same, it seems to me Cause you've been gone, I'm growing older But I still can't seem to get you off my mind And I do believe I feel you all the time Moving on and getting over Are not the friends they used to be It's been so long since I got to hold you But I still can't seem to get you off my mind And I do believe I feel you all the time, all the time Tell me I can have the fact you've loved me to hold onto Tell me I can keep the door cracked open, to let light through For all my running, I can understand I'm one text away from being back again But I'm moving on and I'm getting over I'm-a getting over, I'm getting over I got to get over Moving on and getting over It's been so long It just goes to show you That I still can't seem to get you off my mind And I sure would like to see you one more time It's taken me so long just to say so long Maybe it's all wrong, but I'm moving on I'm gonna get a new girl It's something I can do, girl To try to get me through, girl Cause I'm moving on I'm moving on And I'm moving on I'm moving on And I'm moving on Consider me as good as gone Cause I'm moving on"
Fifth Harmony - Angel,1,,154,,3580700,3580700,Fifth Harmony,Angel,"Who said I was an angel? Who said I was an angel? Oh yeah We was just a moment, nuttin' serious Never really paid you no mind Dropped the bag, started paying attention Should've never lied Should've never not kept your word Woulda had a reason to keep mine You was too inconsistent Should've never lied Should've never crossed that line with ya Everything was cool, just drinkin' with ya Way too young to be up in handcuffs Wasn't tryna spend my life on the phone with ya Gotta keep it on one hundred with ya The original me wouldn't fuck with ya And I was beginning to fuck with ya Who said I was an angel? Who said I was an angel? Oh yeah When you look at me, what do you see? Open your eyes, I'm more brilliant than you'll ever be Who said I was an angel? Yeah, won't lie and say I don't lie Yeah, I might've told a few lies, yeah Won't lie and say I didn't try But you're only worth a few tries, yeah Track star, think you're running these streets You ain't the only one running the streets Stay making ground like I only wear cleats, yeah Should've never crossed that line with ya Everything was cool, just drinkin' with ya Way too young to be up in handcuffs Wasn't tryna spend my life on the phone with ya Gotta keep it on one hundred with ya The original me wouldn't fuck with ya And I was beginning to fuck with ya Who said I was an angel? But you was wrong, oh yeah Who said I was an angel? Oh, I'm no angel, when you look at me When you look at me, what do you see? Oh, what do you see? Open your eyes, I'm more brilliant than you'll ever be Who said I was an angel? Who said I was an angel? Oh (Oh, oh, oh, oh) (Oh, oh, oh, oh, oh, oh, oh, oh) (I want it, I want it, oh, oh, I want it) (Ah, ah, ah, ah, ah, ah, ah, ah) (I want it, I want it, ah, ah) Who said I was an angel? Who said I was an angel? Didn't know the real me, I'm far from an angel Who said I was an angel? Never took the time out Never had time to figure me out, when you look at me When you look at me, what do you see? Oh, what do you see? Open your eyes, I'm more brilliant than you'll ever be, yeah Who said I was an angel? Who said I was a, an angel? Oh"
Sam Smith - One Day At A Time,1,,184,,3575404,3575404,Sam Smith,One Day At A Time,"Let's turn off our phones tonight And rely on the stars We've been so lost lately We forgot who we are But I got everything I need, baby In the palms of your touch In a world of dark distractions It can all get too much So let's sit by an river 'Till the water runs dry Can we light a cigarette And talk about days gone by? We're neither saints or sinners So leave your history behind Let's grab a bottle and take it one day at a time Take it one day at a time I know you're feeling weighed down tonight And you can't find the breaks Every day is too long for you You are sworn to your fate But we got everything we need, baby In the memories we make In a world of reinventions It's never too late So let's sit by an river 'Til the water runs dry Can we light a cigarette And talk about days gone by? We're neither saints or sinners So leave your history behind Let's grab a bottle and take it one day at a time Take it one day at a time, mmm Oh, so let's sit by an river 'Til the water runs dry There is nothing that we've done wrong That can't be made right We're neither saints or sinners So leave your history behind Let's grab a bottle and take it Grab a bottle and take it Grab a bottle and take it one day at a time"
Niall Horan - On The Loose,1,,181,,3571602,3571602,Niall Horan,On The Loose,"I know what she's like She's out of her mind And wraps herself around the truth She'll jump on that flight and meet you that night Make you tear up the room Yeah, she loves when everybody's watching She knows the way her body moves She loves the way they all crawl back when she says She loves nobody else but you She's on the loose (she's coming, she's coming) She's on the loose She's coming, she's coming for you She's on the loose (she's coming, she's coming) She's on the loose She's coming, she's coming for you She'll dance in the dark A real work of art Her eyes could burn down the room So get out while you can You don't understand She doesn't know how to lose Yeah, she loves when everybody's watching She knows the way her body moves She loves the way they all crawl back when she says She loves nobody else but you She's on the loose (she's coming, she's coming) She's on the loose She's coming, she's coming for you She's on the loose (she's coming, she's coming) She's on the loose She's coming, she's coming for you She'll run with your mind to pull you in tight Then trade you in for something new I know what it's like, I fell for it twice And now I'm just warning you She loves when everybody's watching She knows the way her body moves She loves the way they all crawl back when she says She loves nobody else but you She loves when everybody's watching She knows the way her body moves She loves the way they all crawl back when she says She loves nobody else but you She's on the loose (she's coming, she's coming) She's on the loose She's coming, she's coming for you She's on the loose (she's coming, she's coming) She's on the loose She's coming, she's coming for you She's on the loose She's on the loose"
David Bowie - Blackstar,1,,70,,3570481,3570481,David Bowie,Blackstar,"In the Villa of Ormen In the Villa of Ormen Stands a solitary candle At the centre of it all At the centre of it all Your eyes On the day of execution On the day of execution Only women kneel and smile At the centre of it all At the centre of it all Your eyes Your eyes In the Villa of Ormen In the Villa of Ormen Stands a solitary candle At the centre of it all At the centre of it all Your eyes Your eyes Something happened on the day he died Spirit rose a metre and stepped aside Somebody else took his place, and bravely cried I'm a Blackstar I'm a Blackstar How many times does an angel fall? How many people lie instead of talking tall? He trod on sacred ground He cried loud into the crowd I'm a Blackstar I'm a Blackstar I'm not a gangster I can't answer why I'm a Blackstar Just go with me I'm not a filmstar I'm-a take you home I'm a Blackstar Take your passport and shoes I'm not a popstar And your sedatives, boo I'm a Blackstar You're a flash in the pan I'm not a marvel star I'm the great I am I'm a blackstar I'm a blackstar, way up, oh honey, I've got game I see right so white, so open-heart it's pain I want eagles in my daydreams, diamonds in my eyes I'm a Blackstar I'm a Blackstar Something happened on the day he died Spirit rose a metre and stepped aside Somebody else took his place, and bravely cried I'm a Blackstar I'm a star star I'm a Blackstar I can't answer why I'm not a gangster But I can tell you how I'm not a flam star We were born upside-down I'm a star star Born the wrong way 'round I'm not a white star I'm a Blackstar I'm not a gangster I'm a Blackstar I'm a Blackstar I'm not a pornstar I'm not a wandering star I'm a Blackstar I'm a Blackstar In the Villa of Ormen Stands a solitary candle At the centre of it all Your eyes On the day of execution Only women kneel and smile At the centre of it all Your eyes Your eyes"
Justin Bieber - Backpack,3,,134,,1250966,3563647,Justin Bieber,Backpack,"... wants to make contact with the spaceship It's been 72 hours since the crash A fiery ball come clashing from the sky Reports still show no known survivors Nobody knows what to do, we're all freaking out here There were other lifeforms in the ship There's aliens, I'm telling you there's aliens You said, ""I come in peace"" so I took you home I gave you food and I gave you clothes I taught you how to move your feet when the rhythm's on Still you wanna leave 'cause you feel alone You don't know what they're like If they know that you're alive They're gonna try to take away the secrets of your planet's life I know you must be upset, you lost your family in a wreck But you gotta listen Don't try to find your spaceship It might be out there waiting Stay in my backpack forever Stay in my backpack forever (You know I gotta find my spaceship) (My planet's outside there waiting) (I can't stay in your backpack forever, stay in your backpack) Before you came around, I was in a rut Didn't have a friend, didn't know what it was You taught how to dream and how to love You're my best friend, please listen to me You don't know what they're like If they know that you're alive They're gonna try to take away the secrets of your planet's life I know you must be upset, you lost your family in a wreck But you gotta listen Don't try to find your spaceship It might be out there waiting Stay in my backpack forever Stay in my backpack forever (You know I gotta find my spaceship) (My planet's outside there waiting) (I can't stay in your backpack forever, stay in your backpack) Greetings, I fell from the sky I'm from a different world, I use Lil Wayne as a disguise And my flying saucer crashed, I'm the only one that survived I've only taken over this planet since I arrived I'm in a backpack, I'm ducking Men in Black Yeah, I'm an alien, my swag is outta this world Different galaxy, they try to capture me When I die, they gonna name this planet after me Wayne's world Reports from witnesses flooded into the police station Sounds like something out of a movie First of all the object is lying here There were other lifeforms in the ship Nobody knows what to do, we're all freaking out here We found this but no one can identify it There's aliens, I'm telling you there's aliens Don't try to find your spaceship It might be out there waiting Stay in my backpack forever Stay in my backpack forever (You know I gotta find my spaceship) (My planet's outside there waiting) (I can't stay in your backpack forever, stay in your backpack) On our planet, we don't kill one another We don't take love for granted It's a gift from the mother In your planet, you are filled with greed and false belief We came here to bring you peace"
A$AP Rocky - Lord Pretty Flacko Jodye 2 (LPFJ2),3,,92,,1630115,3555640,A$AP Rocky,Lord Pretty Flacko Jodye 2,"Uh Yeah, yeah Yeah, yeah (woah) Yeah, yeah Who that jiggy nigga with the gold links? Got me reminiscin' 'bout my old day Three six, suck a nigga dick, no foreplay, all day Boomin' out the trap through the hallway Tell me what you niggas know about it Auntie sayin' turn it down, or she finna call the cops We be plottin' on the opps, she the one who got the drop Just a free, quick fix, to the A, and it's okay They gon' take me back to my old ways I was tryna chill, poppin' seals ever since I got a deal Kick it with my model chick Sip Cris', fuck niggas wanna diss Now I gotta let 'em know whose really trill Lord Pretty Flacko, Jodye Tell these fuck niggas, how you been? You can freshen our minds, niggas talk down every now and then On the style, gettin' styled nine times out of ten It was, Flacko, Jodye, Flacko, Jodye, Flacko, Jodye, Flacko, Jodye I ain't never lookin' for no handouts Broke ass niggas never helpin' but they hands out Find out where the fuck nigga live then we camp out Screamin' fuck the world, never catch me with my pants down Always been a stand up guy, I'd rather stand out Raf Simmons, Stan Smith edition with my bands out I'm the trillest one to do it since Pimp, nigga hands down If a nigga put his hands on me, that's a man down Trick what? Pimps up, hoes down Woah now, slow down See they runnin' with my old style Grow foul, gold smile, you hoe now, thuggin' with my old style It's a shame how they low down Dirty like Adidas on my sneaker feature, uh Trappin' through the speaker, peep the beeper ringer, uh Turnin' off phones, just to reach 'em, gotta beep 'em I'm a Lord motherfucker, better greet him if you see him (uh) Lord Pretty Flacko, Jodye Tell these fuck niggas, how you been? You can freshen our minds, niggas talk down every now and then On the style, gettin' styled nine times out of ten It was, Flacko, Jodye, Flacko, Jodye, Flacko, Jodye, Flacko, Jodye (Jodye, Jodye, Jodye)"
Fences - Arrows,3,,106,,1309279,3547251,Fences,Arrows,"Just escape! My old man He kicked me out He kicked me out When I told him that I lived this way I lived this way, I lived this way I lived this way, I lived this way I lived this way, I lived this way I lived this way He doesn't own me He doesn't own me He doesn't own me He doesn't own me Just escape! Arrows land were falling Arrows were falling Arrows land were falling Arrows were falling The black rims align your face Like a deer drinking water in a picture frame I swear to God I've seen those eyes The back of my lids when closing mine With clasped hands we shake it out We shake it out Lace up boots and we walk away I felt slightly connected to him And said now boy, now you own me Arrows land were falling Arrows were falling Arrows land were falling Arrows were falling Yeah, yeah Yeah, yeah He doesn't sleep So in truth he never wakes up Another day rushing to his death Out of breath on the treadmill of the famous He makes mistakes tells stories to his paintbrush And when the world finally sees his art He wishes that he never would have made it Just escape, just escape ricochets And eclipses faith living in a city With a grey umbrella over your shoulders And you're becoming suffocated by the weight Can't hit those breaks This is what you wanted, huh But you got it all in vain cause you forgot who you are Right as the world learned your name it goes... Arrows land were falling Arrows were falling Arrows land were falling Arrows were falling Let me ash my issues Ashtray is this asphalt American spirit Black coffee, conversations and a passport When God gives you everything, everything That you ever asked for and it still looks a bit different Than when you pictured it on that back porch And I'm gone world traveller all I got is my songs When the nights start blending into one another and I don't recall Tom Petty in this motherfucker All I wanna do is free fall Yeah free fall And I'm so caught up I'm caught up, I'm caught up And I'm so tired, swore that I wouldn't Stare into the light And guess who tried it Shit I'm blinded by this lime light This lime light, it's all night, it's all day These bright lights, these bright lights Once you turn 'em on You can't walk away, don't die here Don't die here I came too far, I'm too great But I'm too scared and I'm too afraid To stare this world into its face I'm almost home, I'm driving lost My eyelids closed, light turns to grey The cameras off, the show is over You close the curtains and just escape Arrows land were falling Arrows were falling Arrows land were falling Arrows were falling I live this way I live this way I live this way I live this way I live this way I live this way I live this way Just escape!"
Logic - Take It Back,1,,170,,3545006,3545006,Logic,Take It Back,"Take it back, take it way back Take it way, way back to the first black man Long ago before the white man Could paint the black man with a gun in his hand Take it back, take it way back Take it way, way back to the first white man At the very moment when they looked around and said ""Fuck it, I'ma steal this land"" Take it back, take it way back Take it way way back to the first black man Long ago before the white man Could paint the black man with a gun in his hand Take it back, take it way back Take it way, way back to the first white man At the very moment when they looked around and said ""Fuck it, I'ma steal this land"" Everybody wanna tell me what I am, what I am not ""You ain't black, you a mothafuckin' white boy Shut ya mouth, do it right boy, a'ight boy? Man, why you such a hype boy?"" ""Why you always talk about being black? Skin too white, nigga fuck that"" Everything you talk about, cut that That door you trying to open, you could shut that Grip the gat, yeah that's how I'ma buck back Tell me what I am and what I know now All this prejudice has got to go Life is moving fast, it need to slow down Come and see me when I am in yo' town Practice what we preach before it go down Practice what we preach before it go Yes, I got the gift to gab fo sho Will I have to get the gat? No, no Yes, I got to gift to gab fo sho But will have to get the gat, get the gat, get the, get the? Masta deep down inside of me The plantation deep down inside of me Everybody fuck like sodomy 'Cause one or the other what it gotta be Tell me why my momma gotta lie to me Unity for everyone that lied to me Peace on Earth what I try to be I just wanna spread the message of equality And yes, I got to gift to gab fo sho Will I have to get the gat? No, no Yes, I got to gift to gab fo sho But will have to get the gat, get the gat, get the, get the gat? Take it back, take it way back Take it way, way back to the first black man Long ago before the white man Could paint the black man with a gun in his hand Take it back, take it way back Take it way, way back to the first white man At the very moment when they looked around and said ""Fuck it, I'ma steal this land"" Take it back, take it way back Take it way way back to the first black man Long ago before the white man Could paint the black man with a gun in his hand Take it back, take it way back Take it way way back to the first white man At the very moment when they looked around and said ""Fuck it, I'ma steal this land"" Take it back, take it way back Take it way, way back to about 1990 Shady Grove Hospital in Rockville, Maryland 7:36 a.m., where a biracial baby was born To a black father and a white mother Father that wasn't there Addicted to crack cocaine, alcohol, and various other drugs Same as his mom (Way, way back) So I'm gonna tell you about that, right? And I'm gonna tell you about how All this young boy ever wanted was happiness All he ever wanted was positivity All he ever wanted to do was entertain And this boy went through hell You gotta understand, his mother was racist, which is crazy 'Cause how in the fuck is you gonna have All these black babies with black men but you racist Like bitch, that don't make no sense, but it is what it is You know, he grew up, her callin' him a nigger The kids at school callin' him a cracker Identifying as black, looking as white Being told what you can or can't be This kid went through everything He went through He saw narcotics in the household Violence, murderers, drug dealers, he was kidnapped There was crazy shit that happened to this kid And he persevered while the whole world said What they said? Said you wouldn't be shit! You ain't gon' be nothin', nothin', nothin', nothin' Nothin', nothin', nothin', nothin', nothin', nothin', nothing And I, and he, he said fuck that, I'ma persevere And that's why the message is always peace, love and positivity See, he always saw things from two sides He always saw things from two sides He always knew that the message Everybody was born equal Regardless of race, religion, color, creed, and sexual orientation He knew that because he saw that (Take it back, take it way back, take it way-) Because he was stripped and torn down By his black brothers and sisters that were uneducated And that did not know And he was stripped and he was torn down By his white side that did not know These people that are ignorant That cannot see the bigger picture That must fight and kill and murder each other But once again, all he ever wanted to do Was spread a message of equality For every man, woman, and child Regardless of race, religion, color, creed, and sexual orientation (Take it back, take it way back, take it way, way back to the first) Now imagine this child growing up And seeing the craziest shit Being a part of the craziest shit Running around with the wrong people Running around with guns and knives And fighting and stealing and, and all this Because he didn't know, he didn't know! But he knew deep down in his heart that it wasn't right And he knew that he needed to get away from it Now I want you to also imagine, that at 17 years old This child, okay, leaves home and gets two jobs to support himself Two jobs that he works in the morning and the evenings And then he would then come home To about eight or nine hours of sleep But spend four, five, six hours of that Working on music, persevering Grabbing the remote control and looking in the mirror And pretending to see thousands and thousands and thousands of people Just chanting his name Hoping that it would happen But the, but the, but the world said no! Mothafucka, little mothafucka no-no, no-no, no-no, no-no Ya nigga, ya cracka, ya white boy, ya black mothafucka No-no! (Take it back, take it way back, take it way, way back to the first) And he said fuck that He said peace, love, and positivity He said equality for all men Regardless of race, religion, color, creed, and sexual orientation, yeah Now I want you to also imagine People telling him that he did not live this life ""You just a white boy You ain't never experienced that shit You from Gaithersburg, Maryland, nothing happens there Oh no, no, we know, we weren't there We didn't live with you, we didn't live in your Section 8 household We didn't live with the narcotics and violence in your household We just saw it from the outside, outside, outside, outside Outside, outside, outside, outside And since you white, you gotta have money, right?"" (Take it back, take it way back, take it way, way back to the first black man) And this young man persevered in spite Of what people told him he was, wasn't, would and would never be (Take it back, take it way back, take it way, way back to the first black man) And that man is here today, proud A lover of all human beings Regardless of race, religion, color, creed, sexual orientation, yeah, yeah And he's here to say Even though we're all born and created equal We are not treated equally There's extremists on every side And you should just do your best to live life And let other people believe whatever they wanna believe As long as they're not hurtin' anybody You can believe they're going to hell You can believe it's not right You can believe you're superior, fine Just stop killing each other"
James Blunt - When I Find Love Again,3,,148,,1266459,3540616,James Blunt,When I Find Love Again,"Hey-oh, where can I go When all the roads I take, they never lead me home? Hey-oh, I miss you so But I'm used to seeing people come and go Yeah, I've made mistakes Next time, I swear I'll change When I find love again When I find love again I'll be much better than the man I used to be When I find love again When I find love again I'll have a better plan for us Hey-oh, I'm not ashamed 'Cause everybody has a heart that's made to break Hey-oh, don't be afraid 'Cause you're only getting stronger from the pain Yeah, I've made mistakes Next time, I swear I'll change When I find love again When I find love again I'll be much better than the man I used to be When I find love again When I find love again I'll have a better plan for us Yeah, you and me Yeah, I've made mistakes Next time, I swear I'll change When I find love again When I find love again I'll be much better than the man I used to be When I find love again When I find love again I'll have a better plan for us Yeah, you and me When I find love again (when I find love) When I find love again (when I find love) I'll be much better than the man I used to be (when I find love) When I find love again (when I find love) When I find love again (when I find love) I'll have a better plan for us (when I find love) When I find love again When I find love again I'll be much better than the man I used to be When I find love again When I find love again I'll have a better plan for us"
Kendrick Lamar - The Blacker The Berry,1,,51,,3538860,3538860,Kendrick Lamar,The Blacker The Berry,"Everything black, I don't want black (they want us to bow) I want everything black, I ain't need black (down to our knees) Some white, some black, I ain't mean black (and pray to the God) I want everything black (we don't believe) Want all things black, I don't need black Want everything black, don't need black Our eyes ain't black, I own black Own everything black Six in the morn' Fire in the street Burn, baby, burn That's all I wanna see And sometimes I get off watchin' you die in vain It's such a shame they may call me crazy They may say I suffer from schizophrenia or somethin', but homie, you made me Black don't crack, my nigga I'm the biggest hypocrite of 2015 Once I finish this, witnesses will convey just what I mean Been feeling this way since I was sixteen, came to my senses You never liked us anyway, fuck your friendship, I meant it I'm African-American, I'm African I'm black as the moon, heritage of a small village Pardon my residence Came from the bottom of mankind My hair is nappy, my dick is big, my nose is round and wide You hate me don't you? You hate my people, your plan is to terminate my culture You're fuckin' evil I want you to recognize that I'm a proud monkey You vandalize my perception but can't take style from me And this is more than confession I mean I might press the button just so you know my discretion I'm caught in my feelings, I know that you feel it You sabotage my community, makin' a killin' You made me a killer, emancipation of a real nigga The blacker the berry, the sweeter the juice The blacker the berry, the sweeter the juice The blacker the berry, the sweeter the juice The blacker the berry, the bigger I shoot I said dem treat we like a slave, cah we black Woii, we feel wul heap ah pain, cah we black I man ah say dem put we inna chain, cah we black And watch 'ya now, big gold chain full of rocks And you nuh see di whip, left scar 'pon we back But now we have a big whip parked 'pon di block How dem ah seh we doomed from the start, cah we black? Remember this, every race start from the block, jus 'member dat I'm the biggest hypocrite of 2015 Once I finish this, witnesses will convey just what I mean I mean, it's evident that I'm irrelevant to society That's what you're telling me, penitentiary would only hire me Curse me 'til I'm dead Church me with your fake prophesize that I'ma be just another slave in my head Institutionalized manipulation and lies Reciprocation of freedom only live in your eyes You hate me don't you? I know you hate me just as much as you hate yourself Jealous of my wisdom and cards I dealt Watchin' me as I pull up, fill up my tank, then peel out Muscle cars like pull ups, show you what these big wheels 'bout, ah Black and successful, this black man meant to be special Katzkins on my radar, bitch, how can I help you? How can I tell you I'm making a killin'? You made me a killer, emancipation of a real nigga The blacker the berry, the sweeter the juice The blacker the berry, the sweeter the juice The blacker the berry, the sweeter the juice The blacker the berry, the bigger I shoot I said dem treat we like a slave, cah we black Woii, we feel wul heap ah pain, cah we black I man ah say dem put we inna chain, cah we black And watch 'ya now, big gold chain full of rocks And you nuh see di whip, left scar 'pon we back But now we have a big whip parked 'pon di block How dem ah seh we doomed from the start, cah we black? Remember this, every race start from the block, jus 'member dat I'm the biggest hypocrite of 2015 When I finish this if you listenin' then sure you will agree This plot is bigger than me, it's generational hatred It's genocism, it's grimy, little justification I'm African-American, I'm African I'm black as the heart of a fuckin' Aryan I'm black as the name of Tyrone and Darius Excuse my French but fuck you, no, fuck y'all That's as blunt as it gets, I know you hate me, don't you? You hate my people, I can tell 'cause it's threats when I see you I can tell 'cause your ways deceitful Know I can tell because you're in love with that Desert Eagle Thinkin' maliciously, he get a chain then you gone bleed him It's funny how Zulu and Xhosa might go to war Two tribal armies that want to build and destroy Remind me of these Compton Crip gangs that live next door Beefin' with Pirus, only death settle the score So don't matter how much I say I like to preach with the Panthers Or tell Georgia State, ""Marcus Garvey got all the answers"" Or try to celebrate February like it's my B-Day Or eat watermelon, chicken, and Kool-Aid on weekdays Or jump high enough to get Michael Jordan endorsements Or watch BET 'cause urban support is important So why did I weep when Trayvon Martin was in the street When gang banging make me kill a nigga blacker than me? Hypocrite!"
